id,Reviews,clean_text,tokens
1477,用着很舒服给妈妈买的,用着很舒服给妈妈买的,用 很舒服 妈妈 买
1478,还好吧，本来想买***的1，这个用了也还好,还好吧 本来想买 某品牌 的1 这个用了也还好,还好吧 本来 想 买 某品牌 用 还好
1479,这个真的好用,这个真的好用,真的好用
1480,东西还不错用一段时间之后再来追评,东西还不错用一段时间之后再来追评,东西 还不错 用 一段时间 之后 再来 追评
1481,物流配送中心很快，宝贝用着很好，很满意的一次购物，好评,物流配送中心很快 宝贝用着很好 很满意的一次购物 好评,物流配送中心 很快 宝贝 用着很好 很满意 一次 购物 好评
1482,评论说的都挺好用，我买的怎么不好用，太干了，没有说的那么保湿，上当了。,评论说的都挺好用 我买的怎么不好用 太干了 没有说的那么保湿 上当了,评论 说 挺好用 买 不好用 太干了 没有说的那么保湿 上当了
1483,很好用，这款包装比较好携带,很好用 这款包装比较好携带,很好用 款 包装 比较好携带
1484,***隔离霜，这个很好用，味道也很好闻。,某品牌 隔离霜 这个很好用 味道也很好闻,某品牌 隔离霜 很好用 味道 很好闻
1485,这是第二次购买了。不得不说 这款隔离是真的很好用啊 轻薄也很提肤色。会一直回购的。,这是第二次购买了 不得不说 这款隔离是真的很好用啊 轻薄也很提肤色 会一直回购的,这是 第二次 购买 不得不 说 款 隔离 真的很好 用 轻薄 很提肤色 会 一直 回购
1486,刚刚才打开，在手上试啦下，感觉还不错，等用脸上啦再说！,刚刚才打开 在手上试啦下 感觉还不错 等用脸上啦再说,刚刚 打开 手上 试 下 感觉 还不错 等 用 脸上 再说
1487,好用，不油腻，喜欢，新款的瓶子，用起来也方便,好用 不油腻 喜欢 新款的瓶子 用起来也方便,好用 不油腻 喜欢 新款 瓶子 用 起来 方便
1488,很好用，不干，值得推荐。。。。,很好用 不干 值得推荐,很好用 不干 值得推荐
1489,必须好评呀，***隔离本身就很好用，买了两瓶赠了好多赠品，我都惊讶了，太感谢了，卸妆水能用好久了,必须好评呀 某品牌 隔离本身就很好用 买了两瓶赠了好多赠品 我都惊讶了 太感谢了 卸妆水能用好久了,必须 好评 某品牌 隔离 本身 很好用 买 两瓶 赠 好多 赠品 惊讶 太 感谢 卸妆水 能 用 好久
1490,两瓶很划算哦，第一天用了，很温和不刺激。,两瓶很划算哦 第一天用了 很温和不刺激,两瓶 很划算 第一天 用 很 温和不刺激
1491,快递服务态度好。,快递服务态度好,快递服务态度 好
1492,挺好用的味道很好闻,挺好用的味道很好闻,挺好用的 味道 很好闻
1493,萍萍直播推荐的，价格真的优惠，还没试洗，看起来还不错的样子,萍萍直播推荐的 价格真的优惠 还没试洗 看起来还不错的样子,萍萍 直播 推荐 价格 真的优惠 还 没试 洗 看起来 还不错的 样子
1494,保湿不油腻，很贴，是我最喜欢的一款隔离,保湿不油腻 很贴 是我最喜欢的一款隔离,保湿 不油腻 很贴 最喜欢的 一款 隔离
1495,东西很一般,东西很一般,东西 很一般
1496,不好上妆，不适合混合皮肤和干皮，抹上脸都搓泥了，一言难尽，有些失望，懒的退货了，下回不会考虑这款,不好上妆 不适合混合皮肤和干皮 抹上脸都搓泥了 一言难尽 有些失望 懒的退货了 下回不会考虑这款,不好上妆 不适合 混合 皮肤 干皮 抹 上脸 搓泥了 一言难尽 有些失望 懒 退货 下回 不会 考虑 款
1497,还可以用着还行，价格也挺实惠，还有两个挺好的，特别喜欢，还行吧，总之为了挺好的,还可以用着还行 价格也挺实惠 还有两个挺好的 特别喜欢 还行吧 总之为了挺好的,还可以 用 还行 价格 挺实惠 还有 两个 挺好的 特别喜欢 还行吧 总之 为了 挺好的
1498,我妈特喜欢这款，平常真的太贵了，还是双十一划算啊~,我妈特喜欢这款 平常真的太贵了 还是双十一划算啊,我妈 特喜欢 款 平常 真的 太贵 还是 双十一 划算
1499,之前用过海藻的，但不是这个包装，这次趁着活动买来试试跟之前的一样不。,之前用过海藻的 但不是这个包装 这次趁着活动买来试试跟之前的一样不,之前 用过 海藻 不是 包装 这次 趁着 活动 买来 试试 跟 之前 一样 不
1500,第二次买了，跟实体店一样，好评。,第二次买了 跟实体店一样 好评,第二次 买 跟 实体店 一样 好评
1501,还不错啦，挺滋润补水的，建议可以尝试,还不错啦 挺滋润补水的 建议可以尝试,还不错啦 挺滋润补水的 建议 可以 尝试
1502,买一送一很划算，之前也用过这个，挺好用的，希望是正品和之前在店里一样,买一送一很划算 之前也用过这个 挺好用的 希望是正品和之前在店里一样,买一送一 很划算 之前 用 挺好用的 希望是正品 之前 店里 一样
1503,使用了一段时间才来评价的，面膜很好吸收，东西不错，值得购买。,使用了一段时间才来评价的 面膜很好吸收 东西不错 值得购买,使用 一段时间 来 评价 面膜 很好吸收 东西 不错 值得 购买
1504,赠品很好，用了后丝润光滑,赠品很好 用了后丝润光滑,赠品 很好 用 后 丝润 光滑
1505,我以为挺大一瓶，拿到手发现，妈呀，好小啊！,我以为挺大一瓶 拿到手发现 妈呀 好小啊,以为 挺大 一瓶 拿到 手 发现 妈呀 好小
1506,挺温和的，但清洁效果不是很好,挺温和的 但清洁效果不是很好,挺温和的 清洁效果 不是很好
1507,之前买过，这个没用呢，应该可以,之前买过 这个没用呢 应该可以,之前 买过 没用 应该可以
1508,快寄很给力，第二天就到货，不用苦等好几天，一直在用的一款面膜，水水润润，赞\(���)/,快寄很给力 第二天就到货 不用苦等好几天 一直在用的一款面膜 水水润润 赞,快寄 很给力 第二天 到货 不用 苦 等 好 几天 一直在用 一款 面膜 水水润润 赞
1509,一直在用这个***牌子的，不过一直是在实体店买的。这次网购还在担心，用过后才来评价的，真品牌。,一直在用这个 某品牌 牌子的 不过一直是在实体店买的 这次网购还在担心 用过后才来评价的 真品牌,一直在用 某品牌 牌子 一直 实体店 买 这次 网购 还 担心 用 过后 来 评价 真品牌
1510,物流快，价格便宜，昨晚今早各试用了一片，滋润补水，我是敏感皮肤用了没有任何不适，推荐购买。,物流快 价格便宜 昨晚今早各试用了一片 滋润补水 我是敏感皮肤用了没有任何不适 推荐购买,物流 快 价格便宜 昨晚 今早 试用 一片 滋润 补水 敏感 皮肤 用 没有 任何 不适 推荐 购买
1511,送货快，当天就到了，用着也还不错，有活动买着划算,送货快 当天就到了 用着也还不错 有活动买着划算,送货 快 当天 到 用 还不错 有 活动 买 划算
1512,一般，没那么好用,一般 没那么好用,一般 没那么好用
1513,物流很快，用起来感觉补水效果很明显,物流很快 用起来感觉补水效果很明显,物流 很快 用 起来 感觉 补水效果 很明显
1514,包装很好，就是盖子打开了不好扣上,包装很好 就是盖子打开了不好扣上,包装 很好 盖子 打开 不好 扣 上
1515,用***6-7年了，一直都在用，效果不错，值得推荐好评,用 某品牌 6 7年了 一直都在用 效果不错 值得推荐好评,用 某品牌 年 一直 用 效果 不错 值得推荐 好评
1516,瓶子很漂亮很喜欢也很好用快递很快态度好,瓶子很漂亮很喜欢也很好用快递很快态度好,瓶子 很漂亮 很喜欢 很好用 快递 很快 态度 好
1517,***的这款隔离霜很不错，一直在用，效果很好！,某品牌 的这款隔离霜很不错 一直在用 效果很好,某品牌 这款 隔离霜 很不错 一直在用 效果 很好
1518,一下买了两套，期待效果。给**快递员点个赞！,一下买了两套 期待效果 给 某品牌 快递员点个赞,买 两套 期待 效果 某品牌 快递员 点个赞
1519,好用，水水的，粉很细，推荐,好用 水水的 粉很细 推荐,好用 水水的 粉 很细 推荐
1520,应该挺好的,应该挺好的,应该挺好的
1521,面膜是正品，扫码确定了的,面膜是正品 扫码确定了的,面膜 是正品 扫码 确定
1522,我经常在这家买，但这是的快递太不靠谱了，商家也不解决，只是一个劲的说这处理，以后不在这买了,我经常在这家买 但这是的快递太不靠谱了 商家也不解决 只是一个劲的说这处理 以后不在这买了,经常 这家 买 快递 太不靠谱了 商家 不解决 只是 一个劲 说 处理 以后 不 买
1523,物流挺快的，头一天订。第二天用就到啦。是正品，用着很放心。以后还会继续再买的。,物流挺快的 头一天订 第二天用就到啦 是正品 用着很放心 以后还会继续再买的,物流 挺快的 头 一天 订 第二天 用 到 是正品 用 很放心 以后 还会 继续 买
1524,刚收到，还没用，不知道效果怎么样，快递是真的很快呀,刚收到 还没用 不知道效果怎么样 快递是真的很快呀,刚 收到 还 没用 不 知道 效果 怎么样 快递 真的很快呀
1525,颜值较高，用着不错 ，家里的东西基本都在**买，**值得信赖,颜值较高 用着不错 家里的东西基本都在 某品牌 买 某品牌 值得信赖,颜值 较高 用 不错 家里 东西 基本 某品牌 买 某品牌 值得信赖
1526,好用，可以尝试，补水不错！,好用 可以尝试 补水不错,好用 可以 尝试 补水 不错
1527,很温和，卸妆也干净，感觉还不错,很温和 卸妆也干净 感觉还不错,很温和 卸妆 干净 感觉 还不错
1528,非常好，和店里买的一样，关键是便宜了好多,非常好 和店里买的一样 关键是便宜了好多,非常好 店里 买 一样 关键 便宜了好多
1529,宝贝已经收到了，很满意，价格也便宜。,宝贝已经收到了 很满意 价格也便宜,宝贝 收到 很满意 价格 便宜
1530,买一个得三个，价钱实惠。个人觉得带点粉色，倒是不干。,买一个得三个 价钱实惠 个人觉得带点粉色 倒是不干,买 三个 价钱 实惠 个人 觉得 带点 粉色 倒 不干
1531,还没有怎么用，应该还行吧，他们家还是个值得信赖的大牌子，物流很快,还没有怎么用 应该还行吧 他们家还是个值得信赖的大牌子 物流很快,还 没有 用 应该 还行吧 家 还是 值得信赖 大 牌子 物流 很快
1532,面膜早就收到了，还没用。一直觉得这牌子还行吧！试试看！**物流很快呢。,面膜早就收到了 还没用 一直觉得这牌子还行吧 试试看 某品牌 物流很快呢,面膜 早就 收到 还 没用 一直 觉得 牌子 还行吧 试试看 某品牌 物流 很快
1533,商品不错，价格合适，物流给力，还会再买,商品不错 价格合适 物流给力 还会再买,商品 不错 价格 合适 物流 给力 还会 买
1534,用了一段时间了，感觉很不错哦,用了一段时间了 感觉很不错哦,用 一段时间 感觉 很 不错哦
1535,用这个店铺的产品已经两年，物流快，东西好，以后还会继续购买。,用这个店铺的产品已经两年 物流快 东西好 以后还会继续购买,用 店铺 产品 两年 物流 快 东西 好 以后 还会 继续 购买
1536,收到了 超喜欢就是好 用一直用的这款 很适合我我皮肤的 赞一下 下次活动再来买的,收到了 超喜欢就是好 用一直用的这款 很适合我我皮肤的 赞一下 下次活动再来买的,收到 超喜欢 就是好 用 一直用 这款 很适合 皮肤 赞一下 下次 活动 再来 买
1537,手上试用了一下，味道真的像洗发水，香味有点不太喜欢，质地挺轻薄的，抹上也挺滋润,手上试用了一下 味道真的像洗发水 香味有点不太喜欢 质地挺轻薄的 抹上也挺滋润,手上 试用 味道 真的 像 洗发水 香味 有点 不太喜欢 质地 挺轻薄的 抹 上 挺滋润
1538,很好！不错跟外面买的一样的,很好 不错跟外面买的一样的,很好 不错 跟 外面 买 一样
1539,价格较便宜，未使用，不知道效果,价格较便宜 未使用 不知道效果,价格 较便宜 未 使用 不 知道 效果
1540,东西一般，感觉有点卡粉，这价格也就这样了,东西一般 感觉有点卡粉 这价格也就这样了,东西 一般 感觉 有点卡粉 价格 这样
1541,还是相信品牌产品，品质有保障，今早用了，不错哦?,还是相信品牌产品 品质有保障 今早用了 不错哦,还是 相信 品牌 产品 品质 有 保障 今早 用 不错哦
1542,买了好久，现在才来评论，东西比较好用，还会继续关注这个牌子,买了好久 现在才来评论 东西比较好用 还会继续关注这个牌子,买 好久 现在 来 评论 东西 比较好用 还会 继续 关注 牌子
1543,用了好长时间了来评价，好推开不卡粉，用过后皮肤很光滑,用了好长时间了来评价 好推开不卡粉 用过后皮肤很光滑,用 好长时间 来 评价 好推开 不卡粉 用 过后 皮肤 很光滑
1544,东西挺好的，一共两个替换装，买的值，用着也好,东西挺好的 一共两个替换装 买的值 用着也好,东西 挺好的 一共 两个 替换 装 买的值 用 也好
1545,美美直播间里买的，价格优惠。我之前在这家店铺买过化妆品，质量很好。是正品相信美美，以后会继续关注的。,美美直播间里买的 价格优惠 我之前在这家店铺买过化妆品 质量很好 是正品相信美美 以后会继续关注的,美美 直播间 里 买 价格 优惠 之前 这家 店铺 买过 化妆品 质量 很好 是正品 相信 美美 以后 会 继续 关注
1546,面膜超级好用，非常喜欢。,面膜超级好用 非常喜欢,面膜 超级好用 非常喜欢
1547,味道很好闻，清洁能力也不错，我是敏感肌肤，用了没有过敏,味道很好闻 清洁能力也不错 我是敏感肌肤 用了没有过敏,味道 很好闻 清洁能力 不错 敏感 肌肤 用 没有过敏
1548,卖家发货很快，活动力度很大，很实惠,卖家发货很快 活动力度很大 很实惠,卖家 发货 很快 活动力度 很大 很实惠
1549,补水效果看的见,补水效果看的见,补水效果 看 见
1550,小海葵服务非常好,小海葵服务非常好,小 海葵 服务 非常好
1551,很好，面膜挺薄的，精华挺多的，用着也很舒服，,很好 面膜挺薄的 精华挺多的 用着也很舒服,很好 面膜 挺薄的 精华 挺多的 用 很舒服
1552,清洁度还不错，保湿效果很好。,清洁度还不错 保湿效果很好,清洁度 还不错 保湿效果 很好
1553,物流好快，第一次网上买这款面膜，期待效果,物流好快 第一次网上买这款面膜 期待效果,物流 好快 第一次 网上 买 这款 面膜 期待 效果
1554,个人情况：中性皮肤，清洁效果不错，洗后不紧绷,个人情况 中性皮肤 清洁效果不错 洗后不紧绷,个人 情况 中性 皮肤 清洁效果 不错 洗后 不紧绷
1555,酒精味很明显 👿,酒精味很明显,酒精味 很明显
1556,质量还不错，最近都在用这个牌子，很舒服，值得购买！,质量还不错 最近都在用这个牌子 很舒服 值得购买,质量 还不错 最近 用 牌子 很舒服 值得 购买
1557,有种淡淡的清香，还可以，,有种淡淡的清香 还可以,有种 淡淡的清香 还可以
1558,用了一片还不错，精华挺多的，挺好用的，30多片可以用很久了,用了一片还不错 精华挺多的 挺好用的 30多片可以用很久了,用 一片 还不错 精华 挺多的 挺好用的 多片 可以 用 很 久
1559,不错，补水效果很好,不错 补水效果很好,不错 补水效果 很好
1560,物流很快，态度很好，面膜颜值很高，还没用不知道好不好,物流很快 态度很好 面膜颜值很高 还没用不知道好不好,物流 很快 态度 很好 面膜 颜值 很高 还 没用 不 知道 好不好
1561,效果不错，本人脸色偏黄，用了之后感觉状态好了很多^_^,效果不错 本人脸色偏黄 用了之后感觉状态好了很多,效果 不错 本人 脸色 偏黄 用 之后 感觉 状态 好 很多
1562,宝贝收到了，物流超快，买了两三天就到了，延展性很好，买的紫色，调节肤色，很好用，还会回购的,宝贝收到了 物流超快 买了两三天就到了 延展性很好 买的紫色 调节肤色 很好用 还会回购的,宝贝 收到 物流 超快 买 两三天 到 延展性 很好 买 紫色 调节肤色 很好用 还会 回购
1563,用着还挺好，味道也挺清淡的，效果不知道呢！,用着还挺好 味道也挺清淡的 效果不知道呢,用 还挺好 味道 挺清淡的 效果 不 知道
1564,非常好，值得购买！,非常好 值得购买,非常好 值得 购买
1565,面膜很好用补水效果很好每天都用，还送了个盒子,面膜很好用补水效果很好每天都用 还送了个盒子,面膜 很好用 补水效果 很好 每天 用 还 送 盒子
1566,包装完好，快递小哥服务很好，期待用后效果,包装完好 快递小哥服务很好 期待用后效果,包装 完好 快递小哥服务 很好 期待 用后 效果
1567,挺好的，挺好的，挺好的，哈哈，不错。,挺好的 挺好的 挺好的 哈哈 不错,挺好的 挺好的 挺好的 哈哈 不错
1568,东西收到了，首先包装非常，面膜还没有使用，用后追加吧！,东西收到了 首先包装非常 面膜还没有使用 用后追加吧,东西 收到 首先 包装 非常 面膜 还 没有 使用 用后 追加
1569,用着很不错，干净不紧绷。,用着很不错 干净不紧绷,用 很不错 干净 不紧绷
1570,送货速度快。包装完整。**质量杠杠的,送货速度快 包装完整 某品牌 质量杠杠的,送货速度 快 包装 完整 某品牌 质量 杠杠的
1571,***面膜是之前朋友推荐的，比较喜欢那个炭黑面膜，感觉挺补水的，昨天晚上用了感觉皮肤水嫩的,某品牌 面膜是之前朋友推荐的 比较喜欢那个炭黑面膜 感觉挺补水的 昨天晚上用了感觉皮肤水嫩的,某品牌 面膜 之前 朋友 推荐 比较喜欢 炭黑 面膜 感觉 挺补水的 昨天晚上 用 感觉 皮肤 水嫩的
1572,买给我妈的，包装得到了她的青睐，滋润度对她来说正好，不过有一点点增白效果她不喜欢,买给我妈的 包装得到了她的青睐 滋润度对她来说正好 不过有一点点增白效果她不喜欢,买 妈 包装 得到 青睐 滋润度 对 来说 正好 有 一点点 增白效果 不喜欢
1573,这款洗面奶很好用，用量少洗的干净。,这款洗面奶很好用 用量少洗的干净,款 洗面奶 很好用 用量少 洗的干净
1574,一直用这个款的洁面，很不错,一直用这个款的洁面 很不错,一直用 款 洁面 很不错
1575,挺好用，效果很好，遮瑕效果不错，湿润,挺好用 效果很好 遮瑕效果不错 湿润,挺好用 效果 很好 遮瑕效果 不错 湿润
1576,补水效果太好啦，**买东西，早上下的单，下午就收到了！必须5星好评呀！现在只喜欢在**买东西啦！,补水效果太好啦 某品牌 买东西 早上下的单 下午就收到了 必须5星好评呀 现在只喜欢在 某品牌 买东西啦,补水效果 太好 某品牌 买 东西 早上 下 单 下午 收到 必须 5星好评 现在 只 喜欢 某品牌 买 东西
1577,昨天下午收到的，今天早上就用了，挺好用的，是正品,昨天下午收到的 今天早上就用了 挺好用的 是正品,昨天下午 收到 今天 早上 用 挺好用的 是正品
1578,很好用，一直用的这个人牌子，用了5年多了。值得推荐,很好用 一直用的这个人牌子 用了5年多了 值得推荐,很好用 一直用 人 牌子 用 年 多 值得推荐
1579,**送货速度真的很快，服务态度也好,某品牌 送货速度真的很快 服务态度也好,某品牌 送货速度 真的很快 服务态度 也好
1580,感觉还不错吧，价格便宜，看效果来决定是否会回购。,感觉还不错吧 价格便宜 看效果来决定是否会回购,感觉 还不错 价格便宜 看 效果 来 决定 是否 会 回购
1581,这已经是第三瓶了，以前没在**买过，后来都是从**买的，用着还可以，这个还没用，用了看效果追加,这已经是第三瓶了 以前没在 某品牌 买过 后来都是从 某品牌 买的 用着还可以 这个还没用 用了看效果追加,第三 瓶 以前 没 某品牌 买过 后来 是从 某品牌 买 用 还可以 还 没用 用 看 效果 追加
1582,收到了，挺好的，再看用得效果怎么样,收到了 挺好的 再看用得效果怎么样,收到 挺好的 看用 效果 怎么样
1583,不错不错物美价廉用过之后再来评价,不错不错物美价廉用过之后再来评价,不错不错 物美价廉 用过 之后 来 评价
1584,乳液和面霜都带有香味，不是很喜欢，有保湿效果,乳液和面霜都带有香味 不是很喜欢 有保湿效果,乳液 面霜 带有 香味 不是很喜欢 有保湿效果
1585,很喜欢，非常好，完美收货，等用过再评！！！,很喜欢 非常好 完美收货 等用过再评,很喜欢 非常好 完美 收货 等 用 再评
1586,挺好的，买一送3，相当于3个，很便宜里面的化妆垫很贴心的设计哦,挺好的 买一送3 相当于3个 很便宜里面的化妆垫很贴心的设计哦,挺好的 买 一送 相当于 很便宜 里面 化妆 垫 很贴心 设计
1587,货到的很快，感觉还可以。满意。,货到的很快 感觉还可以 满意,货到 很快 感觉 还可以 满意
1588,很喜欢 和悦诗风吟没啥区别,很喜欢 和悦诗风吟没啥区别,很喜欢 和悦 诗 风吟 没 啥 区别
1589,擦在脸上不泛白，不是特别油腻，还可以。防晒效果有待观察。,擦在脸上不泛白 不是特别油腻 还可以 防晒效果有待观察,擦 脸上 不泛白 不是特别油腻 还可以 防晒效果 有待 观察
1590,**快递就是快，还没有用，期待使用效果，***水润保湿，相信品牌的力量,某品牌 快递就是快 还没有用 期待使用效果 某品牌 水润保湿 相信品牌的力量,某品牌 快递 就是快 还 没有 用 期待 使用 效果 某品牌 水润 保湿 相信 品牌 力量
1591,上妆效果：一直比这个隔离霜，很好用！,上妆效果 一直比这个隔离霜 很好用,上妆效果 一直 比 隔离霜 很好用
1592,一般般,一般般,一般般
1593,面膜还挺好用的特地用了几贴才来评价的,面膜还挺好用的特地用了几贴才来评价的,面膜 还挺好用的 特地 用 几贴 来 评价
1594,还可以，就想买这个，吸收挺好的，就是包装不是很好,还可以 就想买这个 吸收挺好的 就是包装不是很好,还可以 想 买 吸收 挺好的 包装 不是很好
1595,非常不错哦，收到货了，真的是非常划算哦，活动价太棒了。,非常不错哦 收到货了 真的是非常划算哦 活动价太棒了,非常 不错哦 收到 货 真的 非常划算 活动价 太棒了
1596,买回来后马上用了一片，个人觉得很好用，补水效果不错,买回来后马上用了一片 个人觉得很好用 补水效果不错,买回来 后 马上 用 一片 个人 觉得 很好用 补水效果 不错
1597,已经用过好几盒了，很好用，而且不过敏。天天敷也不心疼啦,已经用过好几盒了 很好用 而且不过敏 天天敷也不心疼啦,用过 好 几盒 很好用 而且 不过敏 天天 敷 不 心疼
1598,做活动，挺优惠的，值得购买！,做活动 挺优惠的 值得购买,做 活动 挺优惠的 值得 购买
1599,****值得信赖，价格比实体店实惠，是正品，物流快,某品牌 值得信赖 价格比实体店实惠 是正品 物流快,某品牌 值得信赖 价格比 实体店 实惠 是正品 物流 快
1600,这个产品我也不知道是好是坏，用完也没什么特别感觉，也没什么不好的感觉，习惯好评。,这个产品我也不知道是好是坏 用完也没什么特别感觉 也没什么不好的感觉 习惯好评,产品 不 知道 好 坏 用 完 没什么 特别 感觉 没什么 不好 感觉 习惯 好评
1601,到货快，好用，补水隔离效果好，价格实惠，很划算很喜欢,到货快 好用 补水隔离效果好 价格实惠 很划算很喜欢,到货 快 好用 补水 隔离效果 好 价格 实惠 很划算 很喜欢
1602,看了这包装都没心情了，不知道是不是正品,看了这包装都没心情了 不知道是不是正品,看 包装 没心情了 不知道是不是正品
1603,用了好久才来评价。很不错哦！效果也很好！自然！,用了好久才来评价 很不错哦 效果也很好 自然,用 好久 来 评价 很 不错哦 效果 也很好 自然
1604,之前用过，还不错吧,之前用过 还不错吧,之前 用过 还不错
1605,宝贝收到，还没有用习惯好评了。**快递小哥一如既往的好！给赞！,宝贝收到 还没有用习惯好评了 某品牌 快递小哥一如既往的好 给赞,宝贝 收到 还 没有 用 习惯 好评 某品牌 快递小哥 一如既往的好 给赞
1606,清洁能力：很给力，回购,清洁能力 很给力 回购,清洁能力 很给力 回购
1607,一如既往的好用，非常的服帖，精华液也不多，刚好够脸，而且很清爽，很喜欢。,一如既往的好用 非常的服帖 精华液也不多 刚好够脸 而且很清爽 很喜欢,一如既往的好 用 非常的服帖 精华液 不多 刚好 够 脸 而且 很清爽 很喜欢
1608,因为用***的CC霜送了两瓶卸妆水，感觉效果还不错，就接着使用了,因为用 某品牌 的CC霜送了两瓶卸妆水 感觉效果还不错 就接着使用了,用 某品牌 CC 霜 送 两瓶 卸妆水 感觉 效果 还不错 接着 使用
1609,送给妈妈用的好评好评好评好评好评好评好评,送给妈妈用的好评好评好评好评好评好评好评,送给 妈妈 用 好评 好评 好评 好评 好评 好评 好评
1610,以前一直用这个品牌 就是不知道这个瓶子经不经摔 服务好,以前一直用这个品牌 就是不知道这个瓶子经不经摔 服务好,以前 一直用 品牌 不 知道 瓶子 经不经 摔 服务 好
1611,很不错，实惠好用喜欢的,很不错 实惠好用喜欢的,很不错 实惠 好用 喜欢的
1612,用着舒服不错哦，还多送一个替换芯，实惠又实用，用完还会回购的,用着舒服不错哦 还多送一个替换芯 实惠又实用 用完还会回购的,用着舒服 不错哦 还 多 送 替换 芯 实惠 实用 用 完 还 会 回购
1613,用着很舒服,用着很舒服,用 很舒服
1614,快递很快 很喜欢味道也还好 用完试试看怎么样 好的话继续回购 送了卸妆水 和面膜,快递很快 很喜欢味道也还好 用完试试看怎么样 好的话继续回购 送了卸妆水 和面膜,快递 很快 很喜欢 味道 还好 用 完 试试看 怎么样 好 的话 继续 回购 送 卸妆水 面膜
1615,洗脸不刺激 感觉蛮适合我的皮肤,洗脸不刺激 感觉蛮适合我的皮肤,洗脸 不刺激 感觉 蛮 适合 皮肤
1616,货已经收到！物流很快，快递小哥很热情！还没有用，期待很好用！,货已经收到 物流很快 快递小哥很热情 还没有用 期待很好用,货 收到 物流 很快 快递小哥 很热情 还 没有 用 期待 很好用
1617,第一次用感觉效果还不错?挺喜欢的,第一次用感觉效果还不错 挺喜欢的,第一次 用 感觉 效果 还不错 挺喜欢的
1618,刚拿到，老婆晚上就敷了面膜，说还不错???,刚拿到 老婆晚上就敷了面膜 说还不错,刚 拿到 老婆 晚上 敷 面膜 说 还不错
1619,不知道是不是正品，浓浓酒精味,不知道是不是正品 浓浓酒精味,不知道是不是正品 浓浓 酒精味
1620,第n件，用惯了还不错。便宜。,第n件 用惯了还不错 便宜,第 件 用惯 还不错 便宜
1621,东西很好就是有点啃爹我买了第二天就降价，看见了很心塞.........,东西很好就是有点啃爹我买了第二天就降价 看见了很心塞,东西 很好 有点 啃 爹 买 第二天 降价 看见 很心塞
1622,面膜用着非常不错，我是敏感肌用着也很舒服，,面膜用着非常不错 我是敏感肌用着也很舒服,面膜 用 非常不错 敏感肌 用 很舒服
1623,浮粉 不贴合 颜色更自然，便宜没好货,浮粉 不贴合 颜色更自然 便宜没好货,浮粉 不贴合 颜色 更 自然 便宜 没好 货
1624,中午下单下午送到，太快了，支持**。,中午下单下午送到 太快了 支持 某品牌,中午 下单 下午 送到 太快了 支持 某品牌
1625,物有所值，非常不错,物有所值 非常不错,物有所值 非常不错
1626,非常好，买一送一，很划算。感谢商家,非常好 买一送一 很划算 感谢商家,非常好 买一送一 很划算 感谢 商家
1627,味道很不错，以前用过，现在又换回来了，期待一如以往的好用,味道很不错 以前用过 现在又换回来了 期待一如以往的好用,味道 很不错 以前 用过 现在 换回来 期待 一如 以往 好用
1628,用了，很好，,用了 很好,用 很好
1629,遮瑕效果：还没有使用，老顾客了，一直在这里买买买。。,遮瑕效果 还没有使用 老顾客了 一直在这里买买买,遮瑕效果 还 没有 使用 老 顾客 一直 这里 买买 买
1630,面膜很不错，里面精华很多，做天晚上试用了一下，感觉不错，值得购买，并且价格也美丽,面膜很不错 里面精华很多 做天晚上试用了一下 感觉不错 值得购买 并且价格也美丽,面膜 很不错 里面 精华 很多 做天 晚上 试用 感觉不错 值得 购买 价格 美丽
1631,确实不错哦,确实不错哦,确实 不错哦
1632,比较满意，送了两个替换装。**的物流就是快昨天买的今天就到了。快递小哥服务态度比较好。,比较满意 送了两个替换装 某品牌 的物流就是快昨天买的今天就到了 快递小哥服务态度比较好,比较满意 送 两个 替换 装 某品牌 物流 就是快 昨天 买 今天 到 快递小哥服务态度 比较好
1633,东西不错，愉快购物,东西不错 愉快购物,东西 不错 愉快 购物
1634,一直在用这个牌子的护肤品，非常不错,一直在用这个牌子的护肤品 非常不错,一直在用 牌子 护肤品 非常不错
1635,***的面膜用着还挺不错的，又一次购买了！很补水！,某品牌 的面膜用着还挺不错的 又一次购买了 很补水,某品牌 面膜 用 还 挺不错的 一次 购买 很补水
1636,买了还没有用，等用了再来评价一下，朋友推荐的产品应该还不错吧,买了还没有用 等用了再来评价一下 朋友推荐的产品应该还不错吧,买 还 没有 用 等 用 来 评价 朋友 推荐 产品 应该 还不错
1637,还行吧，味道刚开始不习惯，现在用着还行,还行吧 味道刚开始不习惯 现在用着还行,还行吧 味道 刚 开始 不习惯 现在 用 还行
1638,挺好的，一直用的这个牌子的，物流也挺快的,挺好的 一直用的这个牌子的 物流也挺快的,挺好的 一直用 牌子 物流 挺快的
1639,贴了，很保湿，买得很划算呢。,贴了 很保湿 买得很划算呢,贴 很保湿 买 很划算
1640,一百多，四大盒，太合适了，不求什么紧致美白的，只要补水就好~,一百多 四大盒 太合适了 不求什么紧致美白的 只要补水就好,一百多 四大 盒 太合适了 不 求 紧致 美白 只要 补水 好
1641,本来想买紫色瓶提拉紧致的没货了买的这个，用着还行挺滋润的,本来想买紫色瓶提拉紧致的没货了买的这个 用着还行挺滋润的,本来 想 买 紫色 瓶 提拉 紧致 没货 买 用 还行 挺滋润的
